COMUNAS|BARRIOS
1|CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO
2|RECOLETA
3|BALVANERA - SAN CRISTOBAL
4|BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS
5|ALMAGRO - BOEDO
6|CABALLITO
7|FLORES - PARQUE CHACABUCO
8|VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
9|LINIERS - MATADEROS - PARQUE AVELLANEDA
10|FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL
11|VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA
12|COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA
13|BELGRANO - COLEGIALES - NUÃ‘EZ
14|PALERMO
15|AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR
